songId,bpm,releaseDate
SPiCa,162.0,2014-03-20
いーあるふぁんくらぶ,145.0,2013-07-11
Money Money,145.0,2018-12-13
Selector,148.0,2017-02-21
METATRON,190.0,2016-06-30
HIMITSUスパーク,156.0,2015-12-09
Make Up Your World feat. キョンシーのCiちゃん & らっぷびと,180.0,2024-07-05
Just Be Friends,128.0,2017-06-06
うぇいびー,200.0,2025-06-20
『んっあっあっ。』,123.0,2023-03-10
Luminescence,184.0,2025-09-05
つるぺったん,180.0,2023-06-08
story,220.0,2023-11-24
Lover's Trick,130.0,2025-07-04
Limits,140.0,2022-03-11
インターネットサバイバー,172.0,2023-05-26
FFT,180.0,2019-03-08
KING is BACK!!,176.0,2017-09-07
ここからはじまるプロローグ。 (Kanon Remix),190.0,2023-07-07
ココロスキャンのうた,203.0,2013-08-07
FUJIN Rumble,192.0,2014-11-26
アルカリレットウセイ,158.0,2018-03-20
Oshama Scramble!,190.0,2015-06-25
snooze,150.0,2024-11-22
HANIPAGANDA,181.0,2024-02-16
Rooftop Run: Act1,152.0,2012-11-07
キミノヨゾラ哨戒班,185.0,2016-06-30
Nyan Cat EX,150.0,2014-01-09
SPICY SWINGY STYLE,242.0,2017-12-26
P-qoq,175.0,2019-07-11
Lividi,191.0,2017-03-28
アルカンシエル,176.0,2023-09-14
Freak Out Hr.,180.0,2024-03-21
One Step Ahead,186.0,2014-09-18
オレンジの夏,132.0,2012-07-11
POP STAR,140.0,2014-07-17
My Dearest Song,145.0,2017-10-31
Garakuta Doll Play,256.0,2013-10-24
Horoscope Express,236.0,2023-09-14
Ragnarok,184.0,2018-09-18
HOT LIMIT,138.0,2019-07-11
おても☆Yan,90.0,2015-02-19
The wheel to the right,200.0,2017-04-27
awake,170.0,2013-07-11
クレイジークレイジーダンサーズ,172.0,2019-02-22
LiftOff,137.0,2022-01-14
Ourania,204.0,2024-10-25
SUPER AMBULANCE,200.0,2022-10-21
Geranium,150.0,2024-08-02
NO ONE YES MAN,170.0,2025-09-05
Supersonic Generation,155.0,2025-03-13
emomomo,145.0,2020-11-13
Cry Cry Cry,123.0,2023-09-22
See The Light,150.0,2022-09-02
カラッポ・ノンフィクション,170.0,2020-11-13
LAMIA,199.0,2023-09-01
RED,168.0,2025-06-20
OMAKENO Stroke,240.0,2023-09-14
MIRA,148.0,2025-08-08
Overjoy ★ OVERDOSE!!,143.0,2025-04-11
KILLER B,130.0,2020-03-06
Leave All Behind,150.0,2025-09-05
キャットラビング,163.0,2023-03-23
にゃーにゃー冒険譚,188.0,2023-04-28
Radiance,155.0,2025-02-07
おくすり飲んで寝よう,130.0,2024-04-26
"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",154.0,2020-09-17
MarbleBlue.,198.0,2024-03-21
MYTHOS,158.0,2014-04-10
だんだん早くなる,160.0,2017-04-18
Ultranova,156.0,2017-09-07
System “Z”,147.0,2013-10-24
STARTLINER,135.0,2019-07-26
EVERGREEN,145.0,2018-12-25
Magical Sound Shower,120.0,2019-01-11
Ghost Dance,154.0,2023-01-20
maimaiちゃんのテーマ,136.0,2013-01-17
Yakumo >>JOINT STRUGGLE (2019 Update),187.0,2019-11-01
STEEL TRANSONIC,236.0,2020-03-19
MEGATON KICK,200.0,2021-05-14
Infantoon Fantasy,185.0,2016-07-28
MIRROR of MAGIC,135.0,2014-09-18
Lionheart,132.0,2012-12-13
My First Phone,114.0,2018-12-04
カゲロウデイズ,200.0,2013-07-11
Tell Your World,150.0,2013-03-07
Re：End of a Dream,212.0,2021-03-18
Quartet Theme [Reborn],137.0,2013-02-20
Riders Of The Light,143.0,2013-08-07
Irresistible,157.0,2022-05-27
へべれけジャンキー,104.0,2023-02-17
SQUAD-Phvntom-,200.0,2023-09-14
Phantasm Brigade,168.0,2017-05-11
Paranoia,150.0,2020-09-17
Lost Desire,170.0,2023-03-02
Spring of Dreams,153.0,2022-07-01
IF:U,190.0,2024-04-12
Strive against fate,209.0,2022-03-24
Rush-Hour,224.0,2024-02-16
Still,176.0,2018-04-03
Scarlet Wings,183.0,2019-08-09
Danza zandA,129.0,2014-08-22
Imperishable Night 2006 (2016 Refine),161.0,2019-05-24
MEGATON BLAST,194.0,2021-09-03
INFiNiTE ENERZY -Overdoze-,180.0,2024-06-07
N3V3R G3T OV3R,128.0,2022-05-27
オーディエンスを沸かす程度の能力 feat.タイツォン,216.0,2017-10-17
KISS CANDY FLAVOR,146.0,2017-08-03
Sweets×Sweets,132.0,2012-07-11
Secret Sleuth,288.0,2019-07-11
RIDGE RACER STEPS -GMT remix-,240.0,2014-04-17
LANCE,156.0,2015-09-17
Falsum Atlantis.,160.0,2022-01-14
YU-MU,160.0,2016-02-04
M.S.S.Planet,145.0,2014-03-20
Link (2),198.0,2014-09-18
Löschen,181.0,2025-01-10
Like the Wind [Reborn],200.0,2013-02-20
みんなの,190.0,2018-10-02
come again,130.0,2012-07-11
Edelweiss,252.0,2024-03-21
はいよろこんで,147.0,2025-03-13
Save This World νMIX,143.0,2013-08-07
WORLD'S END UMBRELLA,180.0,2019-06-07
Overdose,118.0,NULL
Sun Dance,102.0,2012-07-11
Justified,185.0,2018-05-22
SHOW TIME,120.0,2012-09-13
PERSONA feat. PANXI,175.0,2023-05-12
Jack-the-Ripper◆,210.0,2014-07-17
POWER OF UNITY,190.0,2023-10-20
Hainuwele,175.0,2023-01-20
Party 4U ”holy nite mix”,159.0,2015-12-09
Hyper Active,160.0,2016-09-22
Luminaria,227.0,2022-09-22
MYTH Re：LEASE,202.0,2025-05-30
Love or Lies,128.0,2012-07-11
その群青が愛しかったようだった,220.0,2017-03-09
FLOWER,173.0,2014-10-29
VeRForTe αRtE:VEiN,190.0,2023-03-23
No Routine,163.0,2016-10-06
Turn around,156.0,2013-05-09
Sweet Devil,132.0,2015-07-16
welcome to maimai!! with マイマイマー,163.0,2015-04-16
Never Give Up!,171.0,2021-07-21
Nerverakes,140.0,2013-05-09
World Vanquisher,170.0,2018-06-21
このピアノでお前を8759632145回ぶん殴る,200.0,2018-11-20
VSpook!,155.0,2022-11-18
DUAL ROZES,160.0,2024-04-01
Space Harrier Main Theme [Reborn],125.0,2013-02-20
Technicians High,165.0,2019-08-09
Love's Theme of BADASS ～バッド・アス 愛のテーマ～,202.0,2022-05-13
Future,130.0,2012-07-11
Entrance,180.0,2020-06-11
Panopticon,110.0,2017-05-23
We Are Us,145.0,2022-03-11
キュートなカノジョ,160.0,2023-02-17
からくりピエロ,102.0,2014-07-17
MilK,150.0,2017-12-14
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,188.0,2017-04-18
LOSTPHANTASIA,133.0,2024-06-07
Revive The Rave,165.0,2016-01-21
Scarlet Lance,185.0,2018-12-13
On your mark (104期 Ver.),154.0,2024-12-12
SPILL OVER COLORS,142.0,2018-04-17
れっつ！みらくる☆はーどこあっ！,185.0,2022-12-23
larva,202.0,2018-07-24
UniTas,205.0,2020-01-23
The Great Banquet,170.0,2024-02-02
げきオコスティックファイナリアリティぷんぷんマスタースパーク,200.0,2019-11-01
folern,200.0,2022-07-22
needLe,190.0,2021-10-15
c.s.q.n.,174.0,2020-11-13
Sky High [Reborn],144.0,2013-02-20
ガチャガチャきゅ～と・ふぃぎゅ@メイト,178.0,2019-03-22
きゅうくらりん,220.0,2023-02-17
スターナイトスノウ,180.0,2018-01-09
アンバークロニクル,192.0,2023-06-23
tiny tales continue,188.0,2024-04-12
アイディスマイル,171.0,2024-01-11
NOIZY BOUNCE,150.0,2023-09-14
New York Back Raise,160.0,2024-03-21
お呪い,115.0,2025-08-08
ゆっくりしていってね！！！,221.0,2017-01-24
"Help me, あーりん！",183.0,2018-10-16
Starry Colors,177.0,2021-07-21
アスノヨゾラ哨戒班,185.0,2021-01-21
キズナの物語,128.0,2014-04-07
シエルブルーマルシェ,180.0,2020-03-19
RondeauX of RagnaroQ,185.0,2024-08-02
Signature,128.0,2018-01-23
ゴーストルール,210.0,2016-12-15
キャプテン・ムラサのケツアンカー,190.0,2015-07-16
イガク,170.0,2024-09-27
ほしぞらスペクタクル,200.0,2021-07-21
おねがいダーリン,180.0,2018-08-07
かせげ！ジャリンコヒーロー,186.0,2014-04-07
Xenovcipher,210.0,2021-03-18
Outlaw's Lullaby,145.0,2014-06-17
エンジェル ドリーム,180.0,2025-09-26
シアワセうさぎ,140.0,2014-08-22
『ウソテイ』 ～一回戦せりなvsしろなvsなずな～,190.0,2023-06-08
ウサテイ,190.0,2013-09-05
Scream out! -maimai SONIC WASHER Edit-,174.0,2017-05-11
しねばいいのに,138.0,2018-02-06
アージェントシンメトリー,172.0,2015-12-09
ゆりかご,120.0,2025-03-13
クレイジー・ビート,130.0,2020-03-06
Upshift,155.0,2021-10-01
Rising on the horizon,200.0,2022-11-10
ばかみたい【Taxi Driver Edition】,74.0,2022-12-23
ぐるぐるWASH！コインランドリー・ディスコ,132.0,2014-02-26
Synthesis.,180.0,2025-03-13
インビジブル,192.0,2018-08-07
でらっくmaimai♪てんてこまい!,178.0,2019-07-11
えれくとりっく・えんじぇぅ,150.0,2018-08-21
Jörqer,98.0,2020-09-17
みんなのマイマイマー,175.0,2013-07-11
オパ! オパ! RACER -GMT mashup-,172.0,2014-05-08
oboro,175.0,2015-02-05
YATTA!,133.0,2014-02-26
magician's operation,125.0,2014-03-20
Yet Another ”drizzly rain”,175.0,2015-11-12
きゅびずむ,185.0,2025-03-13
sweet little sister,168.0,2014-02-26
Trick tear,222.0,2022-02-10
エゴロック,225.0,2022-08-19
アマノジャクリバース feat. ｙｔｒ,160.0,2018-10-02
すーぱーぬこになりたい,194.0,2016-12-15
クノイチでも恋がしたい,185.0,2016-09-08
おちゃめ機能,150.0,2012-12-13
あなたは世界の終わりにずんだを食べるのだ,140.0,2024-01-26
キレキャリオン,170.0,2018-03-20
あいたい星人,150.0,2025-04-24
ちがう!!!,181.0,2017-07-25
You Mean the World to Me,180.0,2022-11-18
Λzure Vixen,163.0,2024-03-21
Transcend Lights,70.0,2022-09-02
sølips,199.0,2022-03-24
Sage,145.0,2022-06-24
アカリがやってきたぞっ,136.0,2019-07-26
サウンドプレイヤー,143.0,2025-07-11
サヨナラフリーウェイ,170.0,2021-04-09
Sweets Time,150.0,2021-11-12
StargazeR,195.0,2017-06-06
シックスプラン,120.0,2023-12-22
Mutation,155.0,2020-10-16
Stardust Memories,180.0,2020-07-03
みなえをチェック！,178.0,2021-04-09
White Traveling Girl,154.0,2019-02-22
スロウダウナー,194.0,2020-01-23
Saika,145.0,2020-06-11
Rainbow Rush Story,200.0,2022-09-15
シアトリカル・ケース,150.0,2020-11-13
ザムザ,121.0,2024-05-24
Witches night,154.0,2020-08-21
REAL VOICE,183.0,2020-12-11
エイプリルスター,185.0,2024-12-06
アイドル新鋭隊,176.0,2021-10-15
Tidal Wave,175.0,2025-07-16
アニマル,188.0,2022-09-15
おとせサンダー,177.0,2023-03-23
YKWTD,174.0,2024-09-12
キリキリ舞Mine,168.0,2019-10-18
Sweet Requiem,190.0,2021-02-05
お願い！コンコンお稲荷さま,175.0,2025-02-14
アイム・マイヒーロー,138.0,2023-01-06
Kinda Way,127.0,2018-02-20
イヤホンロマンス,132.0,2021-09-16
ありきたりな恋の歌,180.0,2025-08-08
Unfinished Epic,185.0,2025-05-09
ゆけむり魂温泉 II,140.0,2024-10-11
お嫁にしなさいっ！,180.0,2014-02-26
popcorn,130.0,2020-09-04
るろうらんる,156.0,2025-10-03
サイエンス,188.0,NULL
ViRTUS,225.0,2023-03-02
Tricolor⁂circuS,180.0,2022-09-15
Urban Crusher [Remix],155.0,2012-11-07
