Genre,Version,type,difficulty,Achv,Chart Constant,bpm,releaseDate,Play Count,Last Played,Last Played_Year,Last Played_Month,Last Played_Day,noteCounts.tap,noteCounts.hold,noteCounts.slide,noteCounts.touch,noteCounts.break,noteCounts.total,songId_length,songId_English,songId_Japanese,songId_Punctuation
東方Project,23.0,1,2,100.44,10.5,180.0,4271.0,2.0,1.75622052e+18,2025.0,8.0,26.0,392.0,72.0,51.0,24.0,24.0,563.0,9,0,9,0
niconico＆VOCALOID™,23.0,1,2,90.55,9.7,135.0,4271.0,1.0,1.72408854e+18,2024.0,8.0,19.0,406.0,35.0,15.0,42.0,10.0,508.0,8,0,8,0
niconico＆VOCALOID™,23.0,1,2,100.14,8.5,115.0,4271.0,2.0,1.7483658e+18,2025.0,5.0,27.0,234.0,32.0,28.0,12.0,8.0,314.0,7,0,7,0
niconico＆VOCALOID™,23.0,1,2,91.57,9.8,160.0,4271.0,1.0,1.72409142e+18,2024.0,8.0,19.0,272.0,42.0,22.0,28.0,25.0,389.0,7,0,7,0
POPS＆ANIME,23.0,1,2,99.65,10.7,185.0,4271.0,2.0,1.75044702e+18,2025.0,6.0,20.0,426.0,135.0,18.0,76.0,44.0,699.0,15,14,0,0
POPS＆ANIME,23.0,1,2,100.88,9.8,166.0,4271.0,2.0,1.75148628e+18,2025.0,7.0,2.0,333.0,66.0,24.0,46.0,44.0,513.0,4,0,4,0
POPS＆ANIME,23.0,1,2,100.34,11.0,204.0,4271.0,2.0,1.75942608e+18,2025.0,10.0,2.0,358.0,30.0,30.0,18.0,7.0,443.0,3,0,3,0
オンゲキ＆CHUNITHM,23.0,1,2,94.04,10.0,168.0,4282.0,1.0,1.74309642e+18,2025.0,3.0,27.0,468.0,39.0,43.0,12.0,69.0,631.0,12,10,0,0
GAME＆VARIETY,23.0,1,2,99.08,12.5,188.0,4293.0,6.0,1.76678412e+18,2025.0,12.0,26.0,510.0,72.0,74.0,30.0,31.0,717.0,34,27,0,2
GAME＆VARIETY,23.0,1,1,100.76,9.0,188.0,4293.0,2.0,1.75217898e+18,2025.0,7.0,10.0,391.0,22.0,8.0,16.0,6.0,443.0,34,27,0,2
maimai,23.0,1,1,99.34,8.0,190.0,4293.0,1.0,1.73643942e+18,2025.0,1.0,9.0,276.0,20.0,10.0,17.0,4.0,327.0,4,3,0,1
GAME＆VARIETY,23.0,1,1,99.66,8.0,180.0,4349.0,1.0,1.74441198e+18,2025.0,4.0,11.0,272.0,10.0,4.0,46.0,4.0,336.0,26,22,0,2
