Song,Genre,Version,Chart,Difficulty,Level,Achv,Rank,FC/AP,Sync,DX ✦,DX %,DX Score,Chart Constant
偉大なる悪魔は実は大天使パトラちゃん様なのだ！,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,10+,100.64%,SSS+,FC+,SYNC,2,91.10%,1574/1728,10.7
シュガーホリック,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,10,100.82%,SSS+,FC+,SYNC,2,90.00%,1364/1515,10
ヒバリ,POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,10+,98.64%,S+,-,SYNC,0,80.60%,962/1194,10.7
"Hello, Hologram",POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,10,98.73%,S+,-,-,0,80.60%,1330/1650,10.5
不機嫌なスリーカード,POPS＆ANIME,FESTiVAL PLUS,DX,EXPERT,10,100.46%,SSS,FC+,SYNC,1,87.10%,1126/1293,10.5
ヒトガタ,POPS＆ANIME,UNiVERSE PLUS,DX,EXPERT,10+,99.78%,SS+,FC,SYNC,1,88.70%,1463/1650,10.8
シリウスの輝きのように,POPS＆ANIME,PRiSM (beta),DX,EXPERT,10+,100.03%,SSS,FC,SYNC,1,87.00%,1086/1248,10.7
プラネタリウム・レヴュー,POPS＆ANIME,PRiSM (beta),DX,EXPERT,10,99.98%,SS+,FC,-,1,86.80%,927/1068,10.5
壱雫空,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,11,100.34%,SSS,FC,SYNC,1,88.50%,1176/1329,11
過去を喰らう,POPS＆ANIME,BUDDiES PLUS,DX,EXPERT,10,97.12%,S,-,SYNC,0,82.90%,1259/1518,10
Burn My Soul,POPS＆ANIME,BUDDiES,DX,EXPERT,10,99.49%,SS,-,-,1,89.00%,1557/1749,10.5
おジャ魔女カーニバル!!,POPS＆ANIME,Splash PLUS,DX,EXPERT,8+,99.74%,SS+,-,-,1,87.70%,1187/1353,8.8
ハム太郎とっとこうた,POPS＆ANIME,maimaiでらっくす PLUS,DX,EXPERT,8,98.23%,S+,FC,SYNC,1,88.70%,633/714,8.5
　,POPS＆ANIME,UNiVERSE PLUS,DX,EXPERT,10,94.01%,AAA,-,SYNC,0,79.40%,850/1071,10.5
Princess♂,POPS＆ANIME,UNiVERSE PLUS,DX,EXPERT,10,99.23%,SS,-,-,0,84.00%,1074/1278,10.5
ネ！コ！,POPS＆ANIME,FiNALE,STD,EXPERT,10+,100.39%,SSS,FC+,SYNC,1,86.30%,1054/1221,10.6
真・ハンサム体操でズンドコホイ,POPS＆ANIME,MURASAKi PLUS,STD,EXPERT,10,94.15%,AAA,-,-,0,78.70%,751/954,10.2
若い力 -SEGA HARD GIRLS MIX-,POPS＆ANIME,ORANGE PLUS,STD,EXPERT,10,94.49%,AAA,-,SYNC,0,76.90%,884/1149,10
セハガガガンバッちゃう！！,POPS＆ANIME,PiNK PLUS,STD,EXPERT,11,99.66%,SS+,FC,-,1,86.90%,1582/1821,11.5
ラブリー☆えんじぇる!!,POPS＆ANIME,PiNK,STD,EXPERT,10,92.81%,AA,-,SYNC,0,71.90%,824/1146,10.1
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,POPS＆ANIME,FiNALE,STD,EXPERT,11+,99.55%,SS+,FC,-,1,85.30%,1034/1212,11.8
HIMITSUスパーク,POPS＆ANIME,PiNK,STD,EXPERT,10,95.64%,AAA,-,-,0,75.90%,1177/1551,10.1
ウッーウッーウマウマ(ﾟ∀ﾟ),POPS＆ANIME,maimai,STD,EXPERT,9+,100.94%,SSS+,AP,-,2,91.90%,1175/1278,9.7
ポップミュージックは僕のもの,POPS＆ANIME,MURASAKi,STD,EXPERT,9+,100.01%,SSS,-,-,1,85.20%,930/1092,9.9
ミラクル・ショッピング,POPS＆ANIME,MiLK,STD,EXPERT,10+,98.26%,S+,-,-,0,83.50%,1127/1350,10.8
きらっせ☆ウッド村ファーム,POPS＆ANIME,MURASAKi,STD,EXPERT,10,94.63%,AAA,-,-,0,81.50%,1392/1707,10.1
インドア系ならトラックメイカー,POPS＆ANIME,UNiVERSE,DX,EXPERT,10,100.91%,SSS+,FC+,SYNC,2,92.30%,1216/1317,10.5
メズマライザー,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,10,100.65%,SSS+,FC,-,2,90.60%,1425/1572,10.5
抜錨,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,10+,99.95%,SS+,FC,SYNC,1,87.90%,1488/1692,10.7
あいたい星人,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,9+,100.39%,SSS,FC,-,1,89.90%,1427/1587,9.7
ハオ,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,10,100.78%,SSS+,FC,-,2,92.50%,1393/1506,10
