Song,Genre,Version,Chart,Difficulty,Level,Achv,Rank,FC/AP,Sync,DX ✦,DX %,DX Score,Chart Constant
きゅびずむ,POPS＆ANIME,PRiSM PLUS (beta),DX,MASTER,12+,97.57%,S,-,SYNC,0,83.60%,1851/2214,12.9
踊,POPS＆ANIME,FESTiVAL,DX,MASTER,11,99.19%,SS,-,-,1,87.20%,1849/2121,11.5
INTERNET YAMERO,POPS＆ANIME,BUDDiES PLUS,DX,MASTER,11+,100.15%,SSS,FC,SYNC,1,89.20%,1998/2241,11.9
INTERNET OVERDOSE,POPS＆ANIME,FESTiVAL,DX,MASTER,13,89.13%,A,-,-,0,69.30%,1710/2466,13.5
だから僕は音楽を辞めた,POPS＆ANIME,maimaiでらっくす PLUS,DX,MASTER,12,95.28%,AAA,-,SYNC,0,81.80%,1578/1929,12.5
おとせサンダー,POPS＆ANIME,FESTiVAL PLUS,DX,MASTER,11,99.55%,SS+,-,SYNC,2,90.90%,1982/2181,11.5
"メイトなやつら（FEAT. 天開司, 佐藤ホームズ, あっくん大魔王 & 歌衣メイカ）",POPS＆ANIME,PRiSM (beta),DX,MASTER,13,94.79%,AAA,-,SYNC,0,83.60%,1748/2091,13
シリウスの輝きのように,POPS＆ANIME,PRiSM (beta),DX,MASTER,12,99.81%,SS+,FC,-,1,89.90%,1289/1434,12
プラネタリウム・レヴュー,POPS＆ANIME,PRiSM (beta),DX,MASTER,11+,98.68%,S+,FC,-,1,85.90%,1000/1164,11.8
おジャ魔女カーニバル!!,POPS＆ANIME,Splash PLUS,DX,MASTER,12+,93.00%,AA,-,-,0,78.00%,1778/2280,12.8
ハム太郎とっとこうた,POPS＆ANIME,maimaiでらっくす PLUS,DX,MASTER,12,98.68%,S+,-,SYNC,1,86.30%,1168/1353,12
ラブリー☆えんじぇる!!,POPS＆ANIME,PiNK,STD,MASTER,12,96.52%,AAA,-,-,0,78.10%,1174/1503,12.5
POP STAR,POPS＆ANIME,GreeN PLUS,STD,MASTER,11,93.53%,AA,-,-,0,75.80%,1023/1350,11.4
メズマライザー,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,MASTER,11+,99.62%,SS+,-,SYNC,1,89.30%,1809/2025,11.9
ダーリンダンス,niconico＆VOCALOID™,PRiSM (beta),DX,MASTER,11+,100.03%,SSS,-,SYNC,0,84.60%,1799/2127,11.8
デビルじゃないもん,niconico＆VOCALOID™,PRiSM (beta),DX,MASTER,13,92.31%,AA,-,SYNC,0,76.30%,1767/2316,13
バグ,niconico＆VOCALOID™,BUDDiES,DX,MASTER,11+,99.13%,SS,FC,SYNC,2,90.80%,1942/2139,11.8
フォニイ,niconico＆VOCALOID™,FESTiVAL,DX,MASTER,11,99.90%,SS+,-,-,1,88.50%,1652/1866,11.5
群青讃歌,niconico＆VOCALOID™,FESTiVAL PLUS,DX,MASTER,12,99.66%,SS+,-,SYNC,1,86.90%,1004/1155,12.4
セカイ,niconico＆VOCALOID™,FESTiVAL PLUS,DX,MASTER,12+,96.04%,AAA,-,-,0,78.40%,1301/1659,12.8
にっこり^^調査隊のテーマ,niconico＆VOCALOID™,BUDDiES PLUS,DX,MASTER,12+,100.01%,SSS,FC,-,2,90.20%,1918/2127,12.7
アイディスマイル,niconico＆VOCALOID™,BUDDiES PLUS,DX,MASTER,12+,95.30%,AAA,-,-,0,80.10%,1226/1530,12.8
熱異常,niconico＆VOCALOID™,BUDDiES,DX,MASTER,12,98.13%,S+,-,SYNC,0,81.10%,1711/2109,12.1
神っぽいな,niconico＆VOCALOID™,FESTiVAL PLUS,DX,MASTER,11+,99.69%,SS+,FC,SYNC,1,85.40%,1245/1458,11.7
ラビットホール,niconico＆VOCALOID™,BUDDiES PLUS,DX,MASTER,11+,100.48%,SSS,FC,SYNC,2,90.60%,1938/2139,11.8
ヴァンパイア,niconico＆VOCALOID™,UNiVERSE PLUS,DX,MASTER,11+,98.76%,S+,-,-,1,85.30%,1620/1899,11.7
ヒバナ,niconico＆VOCALOID™,FiNALE,STD,MASTER,12,100.19%,SSS,-,SYNC,1,86.90%,1749/2013,12
妄想感傷代償連盟,niconico＆VOCALOID™,MiLK PLUS,STD,MASTER,11,99.81%,SS+,-,-,1,87.50%,1355/1548,11.4
酔いどれ知らず,niconico＆VOCALOID™,BUDDiES PLUS,DX,MASTER,11+,100.06%,SSS,-,SYNC,1,87.80%,1352/1539,11.6
演劇,niconico＆VOCALOID™,PRiSM (beta),DX,MASTER,12,97.47%,S,-,SYNC,0,83.50%,1471/1761,12.5
幽霊東京,niconico＆VOCALOID™,Splash PLUS,DX,MASTER,12,95.90%,AAA,-,SYNC,0,83.30%,1679/2016,12.5
ロキ,niconico＆VOCALOID™,FiNALE,STD,MASTER,11+,98.00%,S,-,-,0,82.50%,1806/2190,11.8
エイリアンエイリアン,niconico＆VOCALOID™,MURASAKi PLUS,STD,MASTER,12+,96.18%,AAA,-,SYNC,0,78.30%,1775/2268,12.8
ラブチーノ,niconico＆VOCALOID™,MURASAKi PLUS,STD,MASTER,11+,96.37%,AAA,-,-,0,80.20%,1123/1401,11.9
シャルル,niconico＆VOCALOID™,MiLK,STD,MASTER,12+,95.22%,AAA,-,SYNC,0,75.30%,1331/1767,12.9
だんだん早くなる,niconico＆VOCALOID™,MURASAKi,STD,MASTER,12,99.87%,SS+,FC,SYNC,1,86.70%,1436/1656,12
恋愛裁判,niconico＆VOCALOID™,PiNK PLUS,STD,MASTER,11+,99.84%,SS+,FC,-,0,84.80%,1607/1896,11.8
どぅーまいべすと！,niconico＆VOCALOID™,UNiVERSE,DX,MASTER,12,95.05%,AAA,-,SYNC,0,82.10%,1652/2013,12.4
スターリースカイ☆パレード,niconico＆VOCALOID™,maimaiでらっくす PLUS,DX,MASTER,12+,92.08%,AA,-,-,0,70.50%,1600/2268,12.6
はやくそれになりたい！,niconico＆VOCALOID™,MiLK PLUS,STD,MASTER,11+,100.40%,SSS,FC,-,1,89.30%,2046/2292,11.9
ナイトメア☆パーティーナイト,niconico＆VOCALOID™,FiNALE,STD,MASTER,11+,99.63%,SS+,-,-,0,84.80%,1764/2079,11.9
おねがいダーリン,niconico＆VOCALOID™,MiLK PLUS,STD,MASTER,12+,95.43%,AAA,-,-,0,76.80%,1588/2067,12.8
クレイジークレイジーダンサーズ,東方Project,FiNALE,STD,MASTER,11+,99.10%,SS,-,-,0,83.80%,1523/1818,11.7
Bad Apple!! feat.nomico,東方Project,GreeN,STD,MASTER,12,95.52%,AAA,-,SYNC,0,78.00%,1380/1770,12.5
檄！帝国華撃団(改),GAME＆VARIETY,maimai,STD,MASTER,10+,95.96%,AAA,-,-,0,78.60%,554/705,10.7
りばーぶ,maimai,PiNK,STD,MASTER,11,96.91%,AAA,-,-,0,81.40%,1148/1410,11.4
RIFFRAIN,maimai,FESTiVAL,DX,MASTER,13,90.38%,AA,-,SYNC,0,75.80%,1389/1833,13.2
Sweets×Sweets,maimai,maimai,STD,MASTER,11,96.53%,AAA,-,-,0,79.20%,920/1161,11.4
ネコ日和。,maimai,maimai,STD,MASTER,12+,96.58%,AAA,-,-,0,78.20%,812/1038,12.6
STARTLINER,オンゲキ＆CHUNITHM,maimaiでらっくす,DX,MASTER,11+,98.54%,S+,-,SYNC,1,86.80%,1356/1563,11.8
STARRED HEART,オンゲキ＆CHUNITHM,FESTiVAL PLUS,DX,MASTER,12,91.32%,AA,-,SYNC,0,77.00%,1114/1446,12.5
Counselor,オンゲキ＆CHUNITHM,PiNK,STD,MASTER,12,95.94%,AAA,-,-,0,75.20%,1625/2160,12.4
