Name,Version,Difficulty,Level,Achievement,Play Count,Last Played
"星界ちゃんと可不ちゃんのおつかい合騒曲","DX","expert","11+","100.6558%",14,"2026/01/06 16:40"
"人マニア","DX","expert","10+","99.8351%",1,"2025/08/02 17:30"
"イガク","DX","expert","11","100.2020%",3,"2025/08/26 16:24"
"トンデモワンダーズ","DX","expert","10","95.2806%",1,"2025/03/04 19:18"
"てらてら","DX","expert","10","96.7847%",1,"2025/07/07 20:01"
"バグ","DX","expert","10","69.8902%",1,"2024/07/03 16:03"
"バグ","DX","master","11+","99.1285%",3,"2025/09/19 00:17"
"セカイ","DX","expert","10","99.2220%",1,"2025/06/26 20:13"
"セカイ","DX","master","12+","96.0373%",3,"2026/01/06 16:52"
"にっこり^^調査隊のテーマ","DX","expert","10","100.9747%",6,"2025/08/08 20:30"
"にっこり^^調査隊のテーマ","DX","master","12+","100.1635%",22,"2026/01/21 16:56"
"アイディスマイル","DX","expert","9+","100.7796%",5,"2025/08/08 20:09"
"アイディスマイル","DX","master","12+","95.3021%",6,"2026/01/31 15:06"
"お呪い","DX","expert","10","100.2706%",1,"2026/01/01 12:54"
"ありきたりな恋の歌","DX","expert","10","100.6504%",1,"2026/01/01 13:05"
"抜錨","DX","expert","10+","99.9545%",1,"2025/10/09 13:17"
"M@GICAL☆CURE! LOVE ♥ SHOT!","DX","expert","11","100.7494%",6,"2025/10/17 21:58"
"ゆりかご","DX","expert","9","100.2278%",1,"2025/07/28 19:56"
"月光","DX","expert","11","100.2717%",6,"2025/10/14 18:05"
"熱異常","DX","expert","10","99.5387%",2,"2025/07/03 20:57"
"熱異常","DX","master","12","98.1303%",2,"2025/12/18 14:59"
"バベル","DX","expert","10","97.2044%",1,"2025/06/25 20:22"
"あいたい星人","DX","expert","9+","100.3912%",1,"2025/10/06 12:58"
"ハオ","DX","expert","10","100.7754%",1,"2025/10/13 16:04"
"デビルじゃないもん","DX","expert","9+","98.7142%",3,"2025/06/25 20:22"
"デビルじゃないもん","DX","master","13","93.8581%",2,"2026/01/04 22:47"
"ジレンマ","DX","expert","10","100.4844%",2,"2025/10/17 23:17"
"ヴァンパイア","DX","expert","10","100.5512%",2,"2025/10/17 23:04"
"ヴァンパイア","DX","master","11+","99.4416%",3,"2026/01/06 17:23"
"アンドロイドガール","DX","expert","10","100.4176%",1,"2025/10/17 22:44"
"ゴーストルール","DX","expert","9+","97.3861%",2,"2025/03/27 16:47"
"ゴーストルール","Standard","expert","10+","98.7490%",1,"2025/08/04 21:20"
"ストリーミングハート","Standard","expert","10+","99.7626%",1,"2025/10/17 23:04"
"モザイクロール","DX","expert","10","100.9677%",1,"2025/11/04 23:54"
"弱虫モンブラン","Standard","expert","10+","100.1184%",1,"2025/10/17 23:17"
"酔いどれ知らず","DX","expert","8","100.1392%",2,"2025/05/27 18:10"
"酔いどれ知らず","DX","master","11+","100.0562%",4,"2025/09/04 19:54"
"QUEEN","DX","expert","10","99.2327%",3,"2025/06/26 20:13"
"KING","DX","expert","9+","94.6921%",1,"2025/02/25 19:46"
"初音天地開闢神話","DX","expert","11","99.5900%",1,"2025/08/18 23:36"
"初音ミクの激唱","Standard","expert","12","92.2778%",1,"2025/05/27 17:16"
"初音ミクの消失","Standard","expert","11+","97.0878%",2,"2025/08/18 22:50"
"終点","Standard","expert","12","99.0529%",3,"2025/12/18 17:11"
"病み垢ステロイド","DX","expert","11","100.7574%",4,"2025/10/28 21:19"
"神っぽいな","DX","expert","8+","100.0330%",6,"2025/06/17 20:03"
"神っぽいな","DX","master","11+","100.0147%",4,"2026/01/07 17:04"
"魔法少女とチョコレゐト","DX","expert","9","100.4757%",1,"2025/08/19 00:10"
"腐れ外道とチョコレゐト","Standard","expert","12+","96.0407%",1,"2026/01/04 22:35"
"リアライズ","DX","expert","10","97.1596%",1,"2025/05/07 18:54"
"マーシャル・マキシマイザー","DX","expert","9+","99.4577%",1,"2025/06/25 20:22"
"強風オールバック","DX","expert","9+","90.5476%",1,"2024/08/19 18:29"
"寝起きヤシの木","DX","expert","9+","91.5709%",1,"2024/08/19 19:17"
"WORLD'S END UMBRELLA","Standard","expert","10","100.4330%",1,"2025/08/18 23:36"
"ゴーゴー幽霊船","DX","expert","10","99.4575%",3,"2025/08/27 16:25"
"39","Standard","expert","11","96.0587%",1,"2025/07/19 00:10"
"回る空うさぎ","DX","expert","8","99.1951%",2,"2025/06/17 20:03"
"回る空うさぎ","DX","master","12","99.0941%",1,"2026/01/16 23:35"
"Alice in 冷凍庫","DX","expert","9+","95.2091%",2,"2025/04/11 23:29"
"アスノヨゾラ哨戒班","DX","expert","9","100.8945%",3,"2025/11/04 23:54"
"キミノヨゾラ哨戒班","Standard","expert","10+","95.8706%",3,"2025/06/27 20:25"
"キャットラビング","DX","expert","8+","92.4550%",1,"2025/02/16 01:26"
"だれかの心臓になれたなら","DX","expert","9","94.0166%",1,"2025/02/25 19:30"
"snooze","DX","expert","10+","98.2568%",1,"2025/05/27 17:51"
"ワールドワイドワンダー","DX","expert","9","99.1608%",1,"2025/06/16 20:05"
"春嵐","DX","expert","10","100.0344%",1,"2025/08/18 23:05"
"ラグトレイン","DX","expert","9+","96.8474%",1,"2025/04/11 23:53"
"ダンスロボットダンス","Standard","expert","11","100.4724%",3,"2025/08/26 16:24"
"ハッピーシンセサイザ","DX","expert","9","92.6338%",1,"2025/01/09 15:36"
"カゲロウデイズ","Standard","expert","11+","99.4472%",1,"2025/08/29 17:01"
"白ゆき","Standard","expert","11+","100.8020%",4,"2026/01/07 17:04"
"ウミユリ海底譚","Standard","expert","9+","98.4003%",3,"2025/06/17 20:03"
"立ち入り禁止","Standard","expert","11+","99.1678%",1,"2025/08/27 17:33"
"エイプリルスター","DX","expert","10","99.4916%",2,"2025/07/22 20:40"
"ポッピンキャンディ☆フィーバー！","DX","expert","10","100.6863%",1,"2025/12/24 17:29"
"ポッピンキャンディ☆フィーバー！","DX","master","12+","96.1291%",5,"2026/01/15 20:56"
"どぅーまいべすと！","DX","expert","9+","100.8498%",1,"2025/12/12 21:36"
